日期：20190504
 上涨初期数量为:192 占比为:0.1
上涨后期数量为: 152占比为: 0.0
下跌初期数量为: 234 占比为: 0.1
下跌后期数量为: 1762 占比为0.5
无趋势数量为: 1252  占比为: 0.3
日期：20190506
 上涨初期数量为:315.000000 占比为:0.1
上涨后期数量为: 71.000000 占比为: 0.0
下跌初期数量为: 57.000000 占比为: 0.0
下跌后期数量为: 2367.000000 占比为0.7 
无趋势数量为: 738.000000  占比为: 0.2
日期：20190507
 上涨初期数量为:164占比为:0.1
上涨后期数量为: 73占比为: 0.0
下跌初期数量为: 123占比为: 0.0
下跌后期数量为: 1825占比为0.7 
无趋势数量为: 614 占比为: 0.2
日期：20190512
 上涨初期数量为:12占比为:0.00
上涨后期数量为: 235占比为: 0.07
下跌初期数量为: 2526占比为: 0.72
下跌后期数量为: 216占比为0.06 
无趋势数量为: 538 占比为: 0.15
日期：20190514
 上涨初期数量为:204占比为:0.06
上涨后期数量为: 1081占比为: 0.30
下跌初期数量为: 166占比为: 0.05
下跌后期数量为: 802占比为0.22 
无趋势数量为: 1327 占比为: 0.37
